Term,Pronunciation,Context / Example Usage,Notes,Tags
Karlsruhe Institute of Technology,,,,Institution
Kasami,,,,
Katamaran,,,,
Kathi Fisler,,,,Author
Katsumata,,,,
Kazutaka Matsuda,,,,Author
Kenji Maillard,ken-jee my-yar,,,Author
Kiselyov,,,,
Klaas Pruiksma,,,,Author
Klaus Ostermann,,,,Author
Kleisli,,,,
Kleisli extension,,,,
Koen Claessen,,,,Author
Koka,,,,Programming-language
Koka,,,,
Kokke,,,,
Kripke,,“Kripke semantics”,,Name
Kripke,,,,
Kripke-indexed,,,,
Krishnamurthi,,,,
Krishnaswami,,,,
Krivine abstract machine,,,,
Krivine machine,,,,
Kuang-Chen Lu,,,,Author
L-Lipschitz,,,,
LALR(1) parser,,,,
LIFO,,“last in first out”,,
LIX,,Lab at Ecole Polytechnique,,Institution
LL (linear logic) ,,,,
LLBC,,,,
LLVM,L.L.V.M.,,,
LLVM,,"Low-Level Virtual Machine, almost always referred to by acronym alone",,Common-term programming-language
LMPs ,,Labelled Markov Processes,,
LR parsing,,Left-to-right parsing,,
Lars Birkedal,,,,Author
Laure Gonnord,,,,Author
LawfulMonad,,,,
Le Fessant,,,,
Lean,,,,
Lean theorem prover,,,,
Lehman ,,,,
Lennard Gäher,,,,Author
Lennart Augustsson,,,,Author
Lennon-Bertrand ,,,,Name
Leo White,,,,Author
Leonardo de Moura,,,,Author
Leonidas Lampropoulos,,,,Author
Leroy,,,,Name
Letan,,,,
Levy,,,,
Liang,,,,Name
Liang-Ting Chen,,,,Author
Limsoon Wong,,,,Author
Lindsey Kuper,,,,Author
Liquid Haskell,,,,Tool programming-language
Lisa Vasilenko,,,,Author
Low-Level Borrow Calculus,,,,
Ltac,,,,
Lucas Escot,,,,Author
Lucassen,,,,
Lukas Lazarek,,,,Author
Lwt,,,,
Léon Gondelman,,,,Author
MDP (Markov Decision Process) ,,,,
MITScript,,,,
ML,,,,Programming-language
ML-style,,Similar to ML programming language,,
MLTT,,short for Martin-Lof Type Theory/dependent type,,theory
MLton,I assume “milton”,,,
MPGV (Multiparty GV) ,,,,
MPI Security and Privance,,Max Plank Institute,,Institution
MPI-SP,,Max Planck Institute for Security and Privacy,,Institution
MPI-SWS,,Max Planck Institute for Software Systems,,Institution
MPL (MaPLe) compiler for Parallel ML,,,,Programming-language
MTC (Metatheory a la Carte) ,,,,
MTL,,,,
MTT (Multimodal Type Theory) ,,,,
MTU (maximum transmission unit),,"Maximum transmission unit, the largest size of packet that can be transmitted",,Networking
Maciej Buszka,Maciey /ˈmaʨ̑ɛ̇j/ Bushka,,,researcher
Madras,,,,
Mads Sig Ager,,,,researcher
Magnus Madsen,,,,Author
Mahsa Varshosaz,,,,Author
Maillard,,,,
Mandate,,,,
Maranget,,,,
Marek Materzok,,,,Author
Markov processes,,,,Common-term
Marlow,,,,
Martin-Lôf,,,,
Massachusetts Institute of Technology,,,,Institution
Massachusetts Institute of Technology,,,,Institution
Mateusz Pyzik,,,,Author
Matsakis,,,,
Matthew Lutze,,,,Author
Matthias Eichholz,,Author,,Author
Matthias Felleisen,,,,Author
Matthias Krebs,,Author,,Author
Małgorzata Biernacka,Mawgojata /ˌmawɡɔˈʒata/ Biernacka,,,author
McBride,,,,Name
Mealy machines,,,,
Meas ,,category of “measurable spaces and measurable functions”,,
Melliès ,,,,
Meng Wang,,,,Author
Meta-level,,,,Common-term
MetaML,,,,
MetaOCaml,,,,
Meven Lennon-Bertrand,May-van Lenon Bear-tran,,,Author
Mezzo,,,,
Microsoft Research,,Often “MSR”,,Institution
Mike Dodds,,,,Author
Minh Nguyen,,,,Author
MinimalCaps property,,,,
Mira Mezini,,Author,,Author
Mishra,,,,
Mlton,Maybe milton,compiler for ML,,tool
Moggi,,,,Name
Mohsen Ghaffari,,,,Author
Monad.PrM ,,,,
MonadBayes,,,,
Monge-Kantorovich duality,,,,
Moore machines,,,,
Multi Types and Reasonable Space,,,,Title
Multicore,,,,
Multicore OCaml,,,,
Mário Pereira,,,,Author
NBE,normalization-by-evaluation,,,
ND,(natural deduction),,,Common-term
NESL,,,,
NIC,,,,
NICs ,,,,
NLTT,,N-level type theory,,
NP-hard,,,,Common-term
NYU,,New York University,,Institution
Nachiappan Valliappan,,,,Author
Nada Amin,,,,Author
Nadia Polikarpova,,,,Author
Nantes,,,,City
Naoki Kobayashi,,,,Author
Nate Foster,,Author,,Author
National Institute of Informatics,,,,Institution
National University of Singapore,,,,Institution
Neel Krishnaswami,,,,Author
NetImp,,,,
NetSpec,,,,
Newcastle University,,,,
Nicolas Tabareau,nikola tabaro,,,Author
Nicolas Wu,,,,Author
Nijmegen,,“Radboud University Nijmegen” A city in the Netherlands,,City
Niki Vazou,,,,Author
Nils Anders Danielsson,,,,Author
Ningning Xie,,,,Author
No Confusion principle,,,,
Non-determinism,,,,Common-term
Non-total,,,,Common-term
Nordström,,,,
Norman Danner,,,,Author
Norman Ramsey,,,,Author
Northeastern University,,,,Institution
Nystrom,,,,
O'Hearn,,,,Name
O(N),Big-oh-of-n,,,Common-term
OCaml,,,,Common-term programming-language
OCaml Multicore CI,,,,
OS,operating system,,,
Objective-C,,,,
Okisaki style,,,,
Olin Shivers,,,,Author
Olivier Danvy,,,,researcher
Olivier Nicole,,,,Author
Omega-cppo-enriched,,,,
On Feller Continuity and Full Abstraction,,,,Title
OpenJDK,,,,
Oskar Eriksson,,,,Author
OutsideIn,,,,
P.B. Levy,,,,
P4,,programming language for specifying behaviour of data-planes,,Programming-language
PAM (Phased Abstract Machine) ,,,,
PDataD,,,,
PEC (path equivalence class) ,,,,
PISA switches,,,,
PL,,,,
PLEIAD Lab,,,,Lab
PLUTUS,,,,
PPLs (probabilistic programming languages) ,,,,
Pablo Barenbaum,,,,researcher
Pablo Nogueira,,,,researcher
Parallel functional programming,,,,
Parigot,,,,Name
Pascal,,,,
Paterson,,,,
Patricia trees,,,,
Patrick Bahr,,,,Author
Patrick Thomson,,,,Author
Paul Downen,,,,Author
Paulette Koronkevich,,,,Author
Peano,,,,
Pensando,,,,
Perceus algorithm,,,,
Peter Thiemann,,,,Author
Peterson,,,,
Peyton Jones,,,,Name
Phil Trinder,,,,Author
Philipp Schuster,,,,Author
Pi, pie,dependent types,,theory
Pickard,,,,
Pierre Crégut,,,,researcher
Plotkin,,Name,,name
Pol,,Subcategory of Meas whose objects are Borel spaces,,
Polonius,,,,
PolyML,,,,
Polyglot,,,,
Portland State University,,,,Institution
Pottier,,,,
Pottier/Rémy,,,,
Power,,,,
Pratap Singh,,,,Author
Pre-order,,,,Common-term
Pretnar,,,,
ProbFX,,Name of the tool developed in this paper,,
Probabilistic Monad,,,,
ProjectLoom,,,,
Proof-irrelevant,,,,Common-term
Prop,,,,
Property-based testing,,,,
Propositional Equality for Gradual Dependently Typed Programming,,,,Title
Protzenko,,,,
Prusti,,,,
Pseudo-random,,,,Common-term
PureScript,,,,
QuickCheck,,,,testing tool
QuickChick,,,,testing tool
QuickLook,,,,
RHOL (Relational Higher-Order Logic) ,,,,
RISC-V core,Risc Five Core,,,
RKNL,"R.K.N.L., or arcane L.",RKNL abstract machine,,
RKNV,"R.K.N.V., or arcane V.",RKNV abstract machine,,
RTL (register transfer level),,,,hardware
Racket,racket,Racket programming language,,
Radboud University,,,,Institution
Radboud University Nijmegen,,,,Institution
Ralf Jung,,,,Author
Ramon Rakow,,,,Author
Ramsey ,,,,
Random Testing of a Higher-Order Blockchain Language (Experience Report),,,,Title
Ranjit Jhala,,,,Author
Raphaelle Crubille,,,,Author
Rasmus Ejlers Møgelberg,,,,Author
ReLoC ,,Logical relations in iris,,
Red-black-tree,,Data structure,,
Redmond,,,,
Reference Counting With Frame Limited Reuse,,,,Title
Reference-counted,,,,
RefinedC,,,,
Reid-Miller,,,,Name
Relooper ,,,,
Ret,,,,
Reykjavik University,,,,Institution
Reynolds,,,,Name
Richard A. Eisenberg,,,,Author
Rivera,,,,
Rob Rix,,,,Author
Robbert Krebbers,,,,Author
Robert Dockins,,,,Author
Roly Perera,,,,Author
Ronald Garcia,,,,Author
Rosario Gennaro,,,,Author
Rosen,,,,
Roşu and Şerbănută,,,,
Rust,,,,Common-term programming-language
RustBelt,,,,
RustHorn,,,,
Ryan G. Scott,,,,Author
Ryosuke Sato,,,,Author
SAT,,Type of problem,,term
SAT,,,,
SAX (semi-axiomatic sequent calculus) ,,,,
SC (sequent calculus) ,,,,Common-term
SCAM,scam,SCAM (abstract machine),,
SCILLA,,,,
SE (symbolic execution) ,,,,
SGD (stochastic gradient descent) ,,,,
SILL ,,,,
SILL family ,,,,
SIR model,,,,
SIR observation model,,,,
SIR transition model,,,,
SML,,,,
SML/NJ,,,,
SMT ,,,,
SMT solver,,Type of tool for solving SMT problems,,Tool
SOS (structural operational semantics) ,,,,
